year,month,day,tank,size,trt,Leftover (g)
2017,1,12,10,large,2.0%,0.971
2017,1,12,11,small,1.0%,0.140
2017,1,12,12,small,0.5%,0.000
2017,1,12,13,small,1.0%,0.235
2017,1,12,14,small,2.0%,0.584
2017,1,12,15,small,0.0%,0.000
2017,1,12,16,small,0.5%,0.000
2017,1,12,17,small,2.0%,0.498
2017,1,12,18,large,0.0%,0.000
2017,1,12,19,small,1.0%,0.204
2017,1,12,20,large,0.5%,0.000
2017,1,12,21,small,0.0%,0.000
2017,1,12,22,small,2.0%,0.587
2017,1,12,23,large,0.5%,0.000
2017,1,12,24,small,1.0%,0.219
2017,1,12,25,large,0.0%,0.000
2017,1,12,26,small,1.0%,0.335
2017,1,12,27,small,2.0%,0.668
2017,1,12,28,small,0.5%,0.000
2017,1,12,29,small,0.5%,0.000
2017,1,12,30,small,2.0%,0.668
2017,1,12,31,small,0.0%,0.000
2017,1,12,32,large,1.0%,0.411
2017,1,12,33,small,0.5%,0.000
2017,1,12,34,large,1.0%,0.700
2017,1,12,35,small,0.0%,0.000
2017,1,12,36,large,2.0%,1.590
2017,1,13,1,large,0.5%,0.000
2017,1,13,2,large,2.0%,1.015
2017,1,13,3,small,0.0%,0.000
2017,1,13,4,small,1.0%,0.110
2017,1,13,5,large,1.0%,0.179
2017,1,13,6,large,0.0%,0.000
2017,1,13,7,small,2.0%,0.383
2017,1,13,8,small,0.5%,0.000
2017,1,13,9,small,0.0%,0.000
2017,1,13,10,large,2.0%,0.870
2017,1,13,11,small,1.0%,0.152
2017,1,13,12,small,0.5%,0.000
2017,1,13,13,small,1.0%,0.093
2017,1,13,14,small,2.0%,0.459
2017,1,13,15,small,0.0%,0.000
2017,1,13,16,small,0.5%,0.000
2017,1,13,17,small,2.0%,0.280
2017,1,13,18,large,0.0%,0.000
2017,1,13,19,small,1.0%,0.214
2017,1,13,20,large,0.5%,0.000
2017,1,13,21,small,0.0%,0.000
2017,1,13,22,small,2.0%,0.515
2017,1,13,23,large,0.5%,0.000
2017,1,13,24,small,1.0%,0.117
2017,1,13,25,large,0.0%,0.000
2017,1,13,26,small,1.0%,0.090
2017,1,13,27,small,2.0%,0.577
2017,1,13,28,small,0.5%,0.000
2017,1,13,29,small,0.5%,0.000
2017,1,13,30,small,2.0%,0.567
2017,1,13,31,small,0.0%,0.000
2017,1,13,32,large,1.0%,0.261
2017,1,13,33,small,0.5%,0.000
2017,1,13,34,large,1.0%,0.375
2017,1,13,35,small,0.0%,0.000
2017,1,13,36,large,2.0%,1.062
2017,1,14,1,large,0.5%,0.000
2017,1,14,2,large,2.0%,0.854
2017,1,14,3,small,0.0%,0.000
2017,1,14,4,small,1.0%,0.092
2017,1,14,5,large,1.0%,0.153
2017,1,14,6,large,0.0%,0.000
2017,1,14,7,small,2.0%,0.343
2017,1,14,8,small,0.5%,0.000
2017,1,14,9,small,0.0%,0.000
2017,1,14,10,large,2.0%,0.759
2017,1,14,11,small,1.0%,0.150
2017,1,14,12,small,0.5%,0.000
2017,1,14,13,small,1.0%,0.213
2017,1,14,14,small,2.0%,0.470
2017,1,14,15,small,0.0%,0.000
2017,1,14,16,small,0.5%,0.000
2017,1,14,17,small,2.0%,0.403
2017,1,14,18,large,0.0%,0.000
2017,1,14,19,small,1.0%,0.000
2017,1,14,20,large,0.5%,0.000
2017,1,14,21,small,0.0%,0.000
2017,1,14,22,small,2.0%,0.413
2017,1,14,23,large,0.5%,0.000
2017,1,14,24,small,1.0%,0.090
2017,1,14,25,large,0.0%,0.000
2017,1,14,26,small,1.0%,0.129
2017,1,14,27,small,2.0%,0.525
2017,1,14,28,small,0.5%,0.000
2017,1,14,29,small,0.5%,0.000
2017,1,14,30,small,2.0%,0.664
2017,1,14,31,small,0.0%,0.000
2017,1,14,32,large,1.0%,0.249
2017,1,14,33,small,0.5%,0.000
2017,1,14,34,large,1.0%,0.277
2017,1,14,35,small,0.0%,0.000
2017,1,14,36,large,2.0%,1.143
2017,1,15,1,large,0.5%,0.000
2017,1,15,2,large,2.0%,0.987
2017,1,15,3,small,0.0%,0.000
2017,1,15,4,small,1.0%,0.083
2017,1,15,5,large,1.0%,0.248
2017,1,15,6,large,0.0%,0.000
2017,1,15,7,small,2.0%,0.348
2017,1,15,8,small,0.5%,0.000
2017,1,15,9,small,0.0%,0.000
2017,1,15,10,large,2.0%,0.779
2017,1,15,11,small,1.0%,0.128
2017,1,15,12,small,0.5%,0.000
2017,1,15,13,small,1.0%,0.207
2017,1,15,14,small,2.0%,0.463
2017,1,15,15,small,0.0%,0.000
2017,1,15,16,small,0.5%,0.000
2017,1,15,17,small,2.0%,0.484
2017,1,15,18,large,0.0%,0.000
2017,1,15,19,small,1.0%,0.067
2017,1,15,20,large,0.5%,0.000
2017,1,15,21,small,0.0%,0.000
2017,1,15,22,small,2.0%,0.490
2017,1,15,23,large,0.5%,0.000
2017,1,15,24,small,1.0%,0.100
2017,1,15,25,large,0.0%,0.000
2017,1,15,26,small,1.0%,0.000
2017,1,15,27,small,2.0%,0.685
2017,1,15,28,small,0.5%,0.000
2017,1,15,29,small,0.5%,0.000
2017,1,15,30,small,2.0%,0.503
2017,1,15,31,small,0.0%,0.000
2017,1,15,32,large,1.0%,0.309
2017,1,15,33,small,0.5%,0.000
2017,1,15,34,large,1.0%,0.258
2017,1,15,35,small,0.0%,0.000
2017,1,15,36,large,2.0%,1.246
2017,1,16,1,large,0.5%,0.000
2017,1,16,2,large,2.0%,0.893
2017,1,16,3,small,0.0%,0.000
2017,1,16,4,small,1.0%,0.101
2017,1,16,5,large,1.0%,0.298
2017,1,16,6,large,0.0%,0.000
2017,1,16,7,small,2.0%,0.426
2017,1,16,8,small,0.5%,0.000
2017,1,16,9,small,0.0%,0.000
2017,1,16,10,large,2.0%,0.731
2017,1,16,11,small,1.0%,0.106
2017,1,16,12,small,0.5%,0.000
2017,1,16,13,small,1.0%,0.113
2017,1,16,14,small,2.0%,0.562
2017,1,16,15,small,0.0%,0.000
2017,1,16,16,small,0.5%,0.000
2017,1,16,17,small,2.0%,0.354
2017,1,16,18,large,0.0%,0.000
2017,1,16,19,small,1.0%,0.118
2017,1,16,20,large,0.5%,0.000
2017,1,16,21,small,0.0%,0.000
2017,1,16,22,small,2.0%,0.443
2017,1,16,23,large,0.5%,0.000
2017,1,16,24,small,1.0%,0.083
2017,1,16,25,large,0.0%,0.000
2017,1,16,26,small,1.0%,0.072
2017,1,16,27,small,2.0%,0.480
2017,1,16,28,small,0.5%,0.000
2017,1,16,29,small,0.5%,0.000
2017,1,16,30,small,2.0%,0.628
2017,1,16,31,small,0.0%,0.000
2017,1,16,32,large,1.0%,0.217
2017,1,16,33,small,0.5%,0.000
2017,1,16,34,large,1.0%,0.263
2017,1,16,35,small,0.0%,0.000
2017,1,16,36,large,2.0%,1.149
2017,1,17,1,large,0.5%,0.000
2017,1,17,2,large,2.0%,0.991
2017,1,17,3,small,0.0%,0.000
2017,1,17,4,small,1.0%,0.100
2017,1,17,5,large,1.0%,0.403
2017,1,17,6,large,0.0%,0.000
2017,1,17,7,small,2.0%,0.350
2017,1,17,8,small,0.5%,0.000
